question,answer
Hello,Hi there!
Hi,Hello!
How are you?,"I'm doing well, thank you!"
What's your name?,I am a chatbot.
Tell me a joke,Why don't scientists trust atoms? Because they make up everything!
Good morning,Good morning! Have a great day!
Good night,Good night! Sleep well!
What is AI?,AI stands for Artificial Intelligence.
Who created you?,I was created by a developer.
What is your purpose?,I am here to assist you.
Where are you from?,I exist in the digital world!
What is 2 + 2?,2 + 2 is 4.
Tell me something interesting,Did you know honey never spoils?
Do you like humans?,Of course! I love talking to humans.
What can you do?,"I can chat, tell jokes, and answer questions!"
Tell me a fun fact,Octopuses have three hearts!
What is Python?,Python is a popular programming language.
Can you help me?,Sure! What do you need help with?
What is the weather today?,"I'm not sure, but you can check a weather website."
Goodbye,Goodbye! Have a nice day!
